,Country,Region,iso_a3,wh_score,gdi,gii,efs,pdn,year,region_5,region_14,region_12,region_8,region_9,region_2,region_11,region_13,region_10,region_7,region_1,region_3,region_4,region_6
98,Qatar,Western Asia,QAT,6.375,1.043,0.539,70.78026326529532,220.991386735573,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,Romania,Eastern Europe,ROU,5.527999877929688,0.986,0.34600000000000003,66.5977581501638,86.1243089360223,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,Russia,Eastern Europe,RUS,5.855999946594237,1.0170000000000001,0.28,52.09283415870756,8.79880404497318,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,Rwanda,Sub-Saharan Africa,RWA,3.515000104904175,0.94,0.415,64.82566271486183,460.84600729631103,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,Saudi Arabia,Western Asia,SAU,6.379000186920166,0.878,0.254,62.089829421233986,14.754530653257001,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,Senegal,Sub-Saharan Africa,SEN,4.2189998626708975,0.88,0.531,57.81062857981694,75.7204539552278,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Serbia,Southern Europe,SRB,5.177000045776367,0.972,0.184,60.013558866911715,81.12717813857759,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,Sierra Leone,Sub-Saharan Africa,SLE,4.635000228881836,0.877,0.653,51.697004305039606,99.36151288445551,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,Singapore,South-eastern Asia,SGP,6.738999843597412,0.982,0.068,89.35154358055641,7806.772751591121,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,Slovakia,Eastern Europe,SVK,6.078000068664551,0.992,0.18600000000000003,67.24184913168547,112.80314420534401,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,Slovenia,Southern Europe,SVN,5.76800012588501,1.002,0.063,60.2754227123104,102.446108744427,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,South Africa,Sub-Saharan Africa,ZAF,4.459000110626222,0.982,0.42700000000000005,62.587596220161686,45.6572612089787,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,South Korea,Eastern Asia,KOR,5.835000038146973,0.932,0.068,71.53908606635466,523.5255477448819,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,Spain,Southern Europe,ESP,6.361000061035156,0.978,0.084,67.63427420205832,92.9526830143124,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,Sri Lanka,Southern Asia,LKA,4.414999961853027,0.94,0.39799999999999996,58.63233832438078,334.396428001914,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,Suriname,Latin America and the Caribbean,SUR,6.269000053405763,0.9740000000000001,0.46799999999999997,54.15339893058072,3.58425,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,Sweden,Northern Europe,SWE,7.290999889373778,0.9840000000000001,0.045,72.66010048250364,24.058299575262108,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,Switzerland,Western Europe,CHE,7.508999824523926,0.965,0.047,80.50857455125784,209.596006562314,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Tajikistan,Central Asia,TJK,4.995999813079834,0.7959999999999999,0.384,52.699161261523074,60.912371208300286,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,Tanzania,Sub-Saharan Africa,TZA,3.6659998893737793,0.929,0.544,57.53293349922617,58.119928877850505,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Thailand,South-eastern Asia,THA,6.473999977111816,0.998,0.37799999999999995,62.42649943906736,134.499620270508,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,Togo,Sub-Saharan Africa,TGO,3.3029999732971187,0.797,0.573,53.03495690716032,134.64162529876802,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,Trinidad and Tobago,Latin America and the Caribbean,TTO,6.168000221252441,0.99,0.33399999999999996,64.1046133475271,267.12046783625703,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,Tunisia,Northern Africa,TUN,5.045000076293945,0.897,0.297,57.74792750347824,71.9615666838311,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,Turkey,Western Asia,TUR,5.388999938964844,0.9179999999999999,0.33299999999999996,63.186294305486676,102.035275392072,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,Uganda,Sub-Saharan Africa,UGA,3.739000082015991,0.861,0.536,59.70511481033215,190.63162278077,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,Ukraine,Eastern Europe,UKR,4.323999881744385,0.995,0.298,46.85317100578124,77.9471922525851,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,United Arab Emirates,Western Asia,ARE,6.572999954223633,0.961,0.17800000000000002,72.3885193246777,130.426640382991,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,United Kingdom,Northern Europe,GBR,6.7249999046325675,0.9670000000000001,0.146,75.83993851835137,269.205394122267,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,United States,Northern America,USA,7.1040000915527335,0.993,0.21899999999999997,76.18207475944084,35.0637308661896,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Uruguay,Latin America and the Caribbean,URY,6.545000076293945,1.011,0.28800000000000003,68.56057352249782,19.4949662895669,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,Uzbekistan,Central Asia,UZB,5.986999988555907,0.94,0.303,47.00917245473436,73.575223319229,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,Venezuela,Latin America and the Caribbean,VEN,6.084000110626222,1.021,0.47,34.335979500454,34.104448727396395,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,Vietnam,South-eastern Asia,VNM,5.060999870300293,1.006,0.33299999999999996,51.69464151516274,298.890818202341,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,Yemen,Western Asia,YEM,3.723999977111816,0.568,0.841,53.65139533526161,50.1882474383014,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,Zambia,Sub-Saharan Africa,ZMB,4.795000076293945,0.935,0.5710000000000001,58.71388480535264,21.3607406610258,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,Zimbabwe,Sub-Saharan Africa,ZWE,4.192999839782715,0.9229999999999999,0.54,37.64085649562379,35.7105570634613,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,Albania,Southern Europe,ALB,4.644000053405762,0.966,0.249,65.92,104.967189781022,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,Algeria,Northern Africa,DZA,5.872000217437744,0.8590000000000001,0.439,50.06,17.0259574932612,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,Angola,Sub-Saharan Africa,AGO,3.795000076293945,0.902,0.5720000000000001,48.94,23.1350637683484,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0
